Source,source name,source type,mapping type,Target,target name,target type,mapping description
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1070.002,Clear Linux or Mac System Logs,technique,Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1070.001,Clear Windows Event Logs,technique,Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1565,Data Manipulation,technique,Consider encrypting important information to reduce an adversary’s ability to perform tailored data modifications.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1530,Data from Cloud Storage Object,technique,"Encrypt data stored at rest in cloud storage.(Citation: Amazon S3 Security, 2019)(Citation: Microsoft Azure Storage Security, 2019) Managed encryption keys can be rotated by most providers. At a minimum, ensure an incident response plan to storage breach includes rotating the keys and test for impact on client applications.(Citation: Google Cloud Encryption Key Rotation)"
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1602,Data from Configuration Repository,technique,Configure SNMPv3 to use the highest level of security (authPriv) available.(Citation: US-CERT TA17-156A SNMP Abuse 2017)
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1114,Email Collection,technique,Use of encryption provides an added layer of security to sensitive information sent over email. Encryption using public key cryptography requires the adversary to obtain the private certificate along with an encryption key to decrypt messages.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1114.003,Email Forwarding Rule,technique,Use of encryption provides an added layer of security to sensitive information sent over email. Encryption using public key cryptography requires the adversary to obtain the private certificate along with an encryption key to decrypt messages.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1070,Indicator Removal on Host,technique,Obfuscate/encrypt event files locally and in transit to avoid giving feedback to an adversary.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1558.003,Kerberoasting,technique,"Enable AES Kerberos encryption (or another stronger encryption algorithm), rather than RC4, where possible.(Citation: AdSecurity Cracking Kerberos Dec 2015)"
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1114.001,Local Email Collection,technique,Use of encryption provides an added layer of security to sensitive information sent over email. Encryption using public key cryptography requires the adversary to obtain the private certificate along with an encryption key to decrypt messages.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1003.003,NTDS,technique,Ensure Domain Controller backups are properly secured.(Citation: Metcalf 2015)
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1602.002,Network Device Configuration Dump,technique,Configure SNMPv3 to use the highest level of security (authPriv) available.(Citation: US-CERT TA17-156A SNMP Abuse 2017) 
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1040,Network Sniffing,technique,"Ensure that all wired and/or wireless traffic is encrypted appropriately. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS."
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1003,OS Credential Dumping,technique,Ensure Domain Controller backups are properly secured.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1552.004,Private Keys,technique,"When possible, store keys on separate cryptographic hardware instead of on the local system. "
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1114.002,Remote Email Collection,technique,Use of encryption provides an added layer of security to sensitive information sent over email. Encryption using public key cryptography requires the adversary to obtain the private certificate along with an encryption key to decrypt messages.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1602.001,SNMP (MIB Dump),technique,Configure SNMPv3 to use the highest level of security (authPriv) available.(Citation: US-CERT TA17-156A SNMP Abuse 2017)
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1558.002,Silver Ticket,technique,"Enable AES Kerberos encryption (or another stronger encryption algorithm), rather than RC4, where possible.(Citation: AdSecurity Cracking Kerberos Dec 2015)"
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1558,Steal or Forge Kerberos Tickets,technique,"Enable AES Kerberos encryption (or another stronger encryption algorithm), rather than RC4, where possible.(Citation: AdSecurity Cracking Kerberos Dec 2015)"
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1565.001,Stored Data Manipulation,technique,Consider encrypting important information to reduce an adversary’s ability to perform tailored data modifications.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1020.001,Traffic Duplication,technique,"Ensure that all wired and/or wireless traffic is encrypted appropriately. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS."
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1565.002,Transmitted Data Manipulation,technique,Encrypt all important data flows to reduce the impact of tailored modifications on data in transit.
M1041,Encrypt Sensitive Information,mitigation,mitigates,T1552,Unsecured Credentials,technique,"When possible, store keys on separate cryptographic hardware instead of on the local system. "
M1039,Environment Variable Permissions,mitigation,mitigates,T1070.003,Clear Command History,technique,Making the environment variables associated with command history read only may ensure that the history is preserved.(Citation: Securing bash history)
M1039,Environment Variable Permissions,mitigation,mitigates,T1562.003,Impair Command History Logging,technique,"Prevent users from changing the <code>HISTCONTROL</code>, <code>HISTFILE</code>, and <code>HISTFILESIZE</code> environment variables. (Citation: Securing bash history)"
M1038,Execution Prevention,mitigation,mitigates,T1548,Abuse Elevation Control Mechanism,technique,System settings can prevent applications from running that haven't been downloaded from legitimate repositories which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk.
M1038,Execution Prevention,mitigation,mitigates,T1546.008,Accessibility Features,technique,"Adversaries can replace accessibility features binaries with alternate binaries to execute this technique. Identify and block potentially malicious software executed through accessibility features functionality by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
M1038,Execution Prevention,mitigation,mitigates,T1546.009,AppCert DLLs,technique,"Adversaries install new AppCertDLL binaries to execute this technique. Identify and block potentially malicious software executed through AppCertDLLs functionality by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
M1038,Execution Prevention,mitigation,mitigates,T1546.010,AppInit DLLs,technique,"Adversaries can install new AppInit DLLs binaries to execute this technique. Identify and block potentially malicious software executed through AppInit DLLs functionality by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
M1038,Execution Prevention,mitigation,mitigates,T1059.002,AppleScript,technique,Use application control where appropriate.
M1038,Execution Prevention,mitigation,mitigates,T1176,Browser Extensions,technique,Set a browser extension allow or deny list as appropriate for your security policy. (Citation: Technospot Chrome Extensions GP)
M1038,Execution Prevention,mitigation,mitigates,T1218.003,CMSTP,technique,Consider using application control configured to block execution of CMSTP.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
M1038,Execution Prevention,mitigation,mitigates,T1574.012,COR_PROFILER,technique,Identify and block potentially malicious unmanaged COR_PROFILER profiling DLLs  by using application control solutions like AppLocker that are capable of auditing and/or blocking unapproved DLLs.(Citation: Beechey 2010)(Citation: Windows Commands JPCERT)(Citation: NSA MS AppLocker)
M1038,Execution Prevention,mitigation,mitigates,T1059,Command and Scripting Interpreter,technique,Use application control where appropriate.
M1038,Execution Prevention,mitigation,mitigates,T1218.001,Compiled HTML File,technique,Consider using application control to prevent execution of hh.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
M1038,Execution Prevention,mitigation,mitigates,T1609,Container Administration Command,technique,"Use read-only containers, read-only file systems, and minimal images when possible to prevent the execution of commands.(Citation: Kubernetes Hardening Guide)"
M1038,Execution Prevention,mitigation,mitigates,T1218.002,Control Panel,technique,"Identify and block potentially malicious and unknown .cpl files by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
M1038,Execution Prevention,mitigation,mitigates,T1574.001,DLL Search Order Hijacking,technique,Adversaries may use new DLLs to execute this technique. Identify and block potentially malicious software executed through search order hijacking by using application control solutions capable of blocking DLLs loaded by legitimate software.
M1038,Execution Prevention,mitigation,mitigates,T1574.006,Dynamic Linker Hijacking,technique,Adversaries may use new payloads to execute this technique. Identify and block potentially malicious software executed through hijacking by using application control solutions also capable of blocking libraries loaded by legitimate software.
M1038,Execution Prevention,mitigation,mitigates,T1548.004,Elevated Execution with Prompt,technique,System settings can prevent applications from running that haven't been downloaded through the Apple Store which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk.
M1038,Execution Prevention,mitigation,mitigates,T1611,Escape to Host,technique,"Use read-only containers, read-only file systems, and minimal images when possible to prevent the running of commands.(Citation: Kubernetes Hardening Guide)"
M1038,Execution Prevention,mitigation,mitigates,T1068,Exploitation for Privilege Escalation,technique,Consider blocking the execution of known vulnerable drivers that adversaries may exploit to execute code in kernel mode. Validate driver block rules in audit mode to ensure stability prior to production deployment.(Citation: Microsoft Driver Block Rules)
M1038,Execution Prevention,mitigation,mitigates,T1553.001,Gatekeeper Bypass,technique,System settings can prevent applications from running that haven't been downloaded through the Apple Store which can help mitigate some of these issues. 
M1038,Execution Prevention,mitigation,mitigates,T1564.003,Hidden Window,technique,"Limit or restrict program execution using anti-virus software. On MacOS, allowlist programs that are allowed to have the plist tag. All other programs should be considered suspicious."
M1038,Execution Prevention,mitigation,mitigates,T1574,Hijack Execution Flow,technique,Adversaries may use new payloads to execute this technique. Identify and block potentially malicious software executed through hijacking by using application control solutions also capable of blocking libraries loaded by legitimate software.
M1038,Execution Prevention,mitigation,mitigates,T1505.004,IIS Components,technique,Restrict unallowed ISAPI extensions and filters from running by specifying a list of ISAPI extensions and filters that can run on IIS.(Citation: Microsoft ISAPICGIRestriction 2016)
M1038,Execution Prevention,mitigation,mitigates,T1218.004,InstallUtil,technique,Use application control configured to block execution of InstallUtil.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
M1038,Execution Prevention,mitigation,mitigates,T1059.007,JavaScript,technique,Denylist scripting where appropriate.
M1038,Execution Prevention,mitigation,mitigates,T1547.006,Kernel Modules and Extensions,technique,"Application control and software restriction tools, such as SELinux, KSPP, grsecurity MODHARDEN, and Linux kernel tuning can aid in restricting kernel module loading.(Citation: Kernel.org Restrict Kernel Module)(Citation: Wikibooks Grsecurity)(Citation: Kernel Self Protection Project)(Citation: Increasing Linux kernel integrity)(Citation: LKM loading kernel restrictions)"
M1038,Execution Prevention,mitigation,mitigates,T1546.006,LC_LOAD_DYLIB Addition,technique,Allow applications via known hashes.
M1038,Execution Prevention,mitigation,mitigates,T1218.014,MMC,technique,Use application control configured to block execution of MMC if it is not required for a given system or network to prevent potential misuse by adversaries.
M1038,Execution Prevention,mitigation,mitigates,T1127.001,MSBuild,technique,"Use application control configured to block execution of <code>msbuild.exe</code> if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the <code>msbuild.exe</code> application and to prevent abuse.(Citation: Microsoft WDAC)"
M1038,Execution Prevention,mitigation,mitigates,T1204.002,Malicious File,technique,Application control may be able to prevent the running of executables masquerading as other files.
M1038,Execution Prevention,mitigation,mitigates,T1553.005,Mark-of-the-Web Bypass,technique,Consider blocking container file types at web and/or email gateways. Consider unregistering container file extensions in Windows File Explorer.(Citation: Dormann Dangers of VHD 2019)
M1038,Execution Prevention,mitigation,mitigates,T1036,Masquerading,technique,Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed.
M1038,Execution Prevention,mitigation,mitigates,T1036.005,Match Legitimate Name or Location,technique,Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed.
M1038,Execution Prevention,mitigation,mitigates,T1218.013,Mavinject,technique,Use application control configured to block execution of mavinject.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
M1038,Execution Prevention,mitigation,mitigates,T1218.005,Mshta,technique,"Use application control configured to block execution of <code>mshta.exe</code> if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the <code>mshta.exe</code> application and to prevent abuse.(Citation: Microsoft WDAC)"
M1038,Execution Prevention,mitigation,mitigates,T1106,Native API,technique,"Identify and block potentially malicious software executed that may be executed through this technique by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
M1038,Execution Prevention,mitigation,mitigates,T1059.008,Network Device CLI,technique,TACACS+ can keep control over which commands administrators are permitted to use through the configuration of authentication and command authorization. (Citation: Cisco IOS Software Integrity Assurance - TACACS)
M1038,Execution Prevention,mitigation,mitigates,T1218.008,Odbcconf,technique,Use application control configured to block execution of Odbcconf.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
M1038,Execution Prevention,mitigation,mitigates,T1574.007,Path Interception by PATH Environment Variable,technique,"Adversaries will likely need to place new binaries in locations to be executed through this weakness. Identify and block potentially malicious software executed path interception by using application control tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.(Citation: SANS Application Whitelisting)(Citation: Microsoft Windows Defender Application Control)(Citation: Windows Commands JPCERT)(Citation: NSA MS AppLocker)(Citation: Microsoft Application Lockdown)(Citation: Microsoft Using Software Restriction )"
M1038,Execution Prevention,mitigation,mitigates,T1574.008,Path Interception by Search Order Hijacking,technique,"Adversaries will likely need to place new binaries in locations to be executed through this weakness. Identify and block potentially malicious software executed path interception by using application control tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.(Citation: SANS Application Whitelisting)(Citation: Microsoft Windows Defender Application Control)(Citation: Windows Commands JPCERT)(Citation: NSA MS AppLocker)(Citation: Microsoft Application Lockdown)(Citation: Microsoft Using Software Restriction )"
M1038,Execution Prevention,mitigation,mitigates,T1574.009,Path Interception by Unquoted Path,technique,"Adversaries will likely need to place new binaries in locations to be executed through this weakness. Identify and block potentially malicious software executed path interception by using application control tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.(Citation: SANS Application Whitelisting)(Citation: Microsoft Windows Defender Application Control)(Citation: Windows Commands JPCERT)(Citation: NSA MS AppLocker)(Citation: Microsoft Application Lockdown)(Citation: Microsoft Using Software Restriction )"
M1038,Execution Prevention,mitigation,mitigates,T1059.001,PowerShell,technique,Use application control where appropriate.
M1038,Execution Prevention,mitigation,mitigates,T1216.001,PubPrn,technique,Certain signed scripts that can be used to execute other programs may not be necessary within a given environment. Use application control configured to block execution of these scripts if they are not required for a given system or network to prevent potential misuse by adversaries.
M1038,Execution Prevention,mitigation,mitigates,T1059.006,Python,technique,Denylist Python where not required.
M1038,Execution Prevention,mitigation,mitigates,T1218.009,Regsvcs/Regasm,technique,Block execution of Regsvcs.exe and Regasm.exe if they are not required for a given system or network to prevent potential misuse by adversaries.
M1038,Execution Prevention,mitigation,mitigates,T1219,Remote Access Software,technique,Use application control to mitigate installation and use of unapproved software that can be used for remote access.
M1038,Execution Prevention,mitigation,mitigates,T1564.006,Run Virtual Instance,technique,Use application control to mitigate installation and use of unapproved virtualization software.
M1038,Execution Prevention,mitigation,mitigates,T1553.003,SIP and Trust Provider Hijacking,technique,Enable application control solutions such as AppLocker and/or Device Guard to block the loading of malicious SIP DLLs.
M1038,Execution Prevention,mitigation,mitigates,T1546.002,Screensaver,technique,Block .scr files from being executed from non-standard locations.
M1038,Execution Prevention,mitigation,mitigates,T1129,Shared Modules,technique,Identify and block potentially malicious software executed through this technique by using application control tools capable of preventing unknown DLLs from being loaded.
M1038,Execution Prevention,mitigation,mitigates,T1553,Subvert Trust Controls,technique,System settings can prevent applications from running that haven't been downloaded through the Apple Store (or other legitimate repositories) which can help mitigate some of these issues. Also enable application control solutions such as AppLocker and/or Device Guard to block the loading of malicious content.
M1038,Execution Prevention,mitigation,mitigates,T1218,System Binary Proxy Execution,technique,Consider using application control to prevent execution of binaries that are susceptible to abuse and not required for a given system or network.
M1038,Execution Prevention,mitigation,mitigates,T1216,System Script Proxy Execution,technique,Certain signed scripts that can be used to execute other programs may not be necessary within a given environment. Use application control configured to block execution of these scripts if they are not required for a given system or network to prevent potential misuse by adversaries.
M1038,Execution Prevention,mitigation,mitigates,T1080,Taint Shared Content,technique,"Identify potentially malicious software that may be used to taint content or may result from it and audit and/or block the unknown programs by using application control (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
M1038,Execution Prevention,mitigation,mitigates,T1127,Trusted Developer Utilities Proxy Execution,technique,Certain developer utilities should be blocked or restricted if not required.
M1038,Execution Prevention,mitigation,mitigates,T1059.004,Unix Shell,technique,Use application control where appropriate.
M1038,Execution Prevention,mitigation,mitigates,T1204,User Execution,technique,Application control may be able to prevent the running of executables masquerading as other files.
M1038,Execution Prevention,mitigation,mitigates,T1218.012,Verclsid,technique,Use application control configured to block execution of verclsid.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
M1038,Execution Prevention,mitigation,mitigates,T1059.005,Visual Basic,technique,"Use application control where appropriate. VBA macros obtained from the Internet, based on the file's Mark of the Web (MOTW) attribute, may be blocked from executing in Office applications (ex: Access, Excel, PowerPoint, Visio, and Word) by default starting in Windows Version 2203.(Citation: Default VBS macros Blocking )"
M1038,Execution Prevention,mitigation,mitigates,T1059.003,Windows Command Shell,technique,Use application control where appropriate.
M1038,Execution Prevention,mitigation,mitigates,T1047,Windows Management Instrumentation,technique,"Use application control configured to block execution of <code>wmic.exe</code> if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the <code>wmic.exe</code> application and to prevent abuse.(Citation: Microsoft WDAC)"
M1038,Execution Prevention,mitigation,mitigates,T1547.004,Winlogon Helper DLL,technique,Identify and block potentially malicious software that may be executed through the Winlogon helper process by using application control (Citation: Beechey 2010) tools like AppLocker (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) that are capable of auditing and/or blocking unknown DLLs.
M1038,Execution Prevention,mitigation,mitigates,T1220,XSL Script Processing,technique,"If msxsl.exe is unnecessary, then block its execution to prevent abuse by adversaries."
M1050,Exploit Protection,mitigation,mitigates,T1189,Drive-by Compromise,technique,Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility.
M1050,Exploit Protection,mitigation,mitigates,T1190,Exploit Public-Facing Application,technique,Web Application Firewalls may be used to limit exposure of applications to prevent exploit traffic from reaching the application.
M1050,Exploit Protection,mitigation,mitigates,T1203,Exploitation for Client Execution,technique,Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility.
M1050,Exploit Protection,mitigation,mitigates,T1212,Exploitation for Credential Access,technique,Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior.(Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring.(Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility and may not work for software targeted for defense evasion.
M1050,Exploit Protection,mitigation,mitigates,T1211,Exploitation for Defense Evasion,technique,Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility and may not work for software targeted for defense evasion.
M1050,Exploit Protection,mitigation,mitigates,T1068,Exploitation for Privilege Escalation,technique,Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility and may not work for software components targeted for privilege escalation.
M1050,Exploit Protection,mitigation,mitigates,T1210,Exploitation of Remote Services,technique,Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility and may not work for all software or services targeted.
M1050,Exploit Protection,mitigation,mitigates,T1218.010,Regsvr32,technique,"Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block regsvr32.exe from being used to bypass application control. (Citation: Secure Host Baseline EMET) Identify and block potentially malicious software executed through regsvr32 functionality by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
M1050,Exploit Protection,mitigation,mitigates,T1218.011,Rundll32,technique,Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using rundll32.exe to bypass application control.
M1050,Exploit Protection,mitigation,mitigates,T1218,System Binary Proxy Execution,technique,Microsoft's Enhanced Mitigation Experience Toolkit (EMET) Attack Surface Reduction (ASR) feature can be used to block methods of using using trusted binaries to bypass application control.
M1050,Exploit Protection,mitigation,mitigates,T1080,Taint Shared Content,technique,"Use utilities that detect or mitigate common features used in exploitation, such as the Microsoft Enhanced Mitigation Experience Toolkit (EMET)."
M1037,Filter Network Traffic,mitigation,mitigates,T1557.002,ARP Cache Poisoning,technique,Consider enabling DHCP Snooping and Dynamic ARP Inspection on switches to create mappings between IP addresses requested via DHCP and ARP tables and tie the values to a port on the switch that may block bogus traffic.(Citation: Cisco ARP Poisoning Mitigation 2016)(Citation: Juniper DAI 2020)
M1037,Filter Network Traffic,mitigation,mitigates,T1557,Adversary-in-the-Middle,technique,"Use network appliances and host-based security software to block network traffic that is not necessary within the environment, such as legacy protocols that may be leveraged for AiTM conditions."
M1037,Filter Network Traffic,mitigation,mitigates,T1499.003,Application Exhaustion Flood,technique,"Leverage services provided by Content Delivery Networks (CDN) or providers specializing in DoS mitigations to filter traffic upstream from services.(Citation: CERT-EU DDoS March 2017) Filter boundary traffic by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport."
M1037,Filter Network Traffic,mitigation,mitigates,T1499.004,Application or System Exploitation,technique,"Leverage services provided by Content Delivery Networks (CDN) or providers specializing in DoS mitigations to filter traffic upstream from services.(Citation: CERT-EU DDoS March 2017) Filter boundary traffic by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport."
M1037,Filter Network Traffic,mitigation,mitigates,T1197,BITS Jobs,technique,"Modify network and/or host firewall rules, as well as other network controls, to only allow legitimate BITS traffic."
M1037,Filter Network Traffic,mitigation,mitigates,T1552.005,Cloud Instance Metadata API,technique,Limit access to the Instance Metadata API using a host-based firewall such as iptables. A properly configured Web Application Firewall (WAF) may help prevent external adversaries from exploiting Server-side Request Forgery (SSRF) attacks that allow access to the Cloud Instance Metadata API.(Citation: RedLock Instance Metadata API 2018)
M1037,Filter Network Traffic,mitigation,mitigates,T1557.003,DHCP Spoofing,technique,"Consider filtering DHCP traffic on ports 67 and 68 to/from unknown or untrusted DHCP servers. Furthermore, consider enabling DHCP snooping on layer 2 switches as it will prevent DHCP spoofing attacks and starvation attacks. Additionally, port security may also be enabled on layer switches. Consider tracking available IP addresses through a script or a tool."
M1037,Filter Network Traffic,mitigation,mitigates,T1071.004,DNS,technique,"Consider filtering DNS requests to unknown, untrusted, or known bad domains and resources. Resolving DNS requests with on-premise/proxy servers may also disrupt adversary attempts to conceal data within DNS packets. "
M1037,Filter Network Traffic,mitigation,mitigates,T1530,Data from Cloud Storage Object,technique,Cloud service providers support IP-based restrictions when accessing cloud resources. Consider using IP allowlisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data.
M1037,Filter Network Traffic,mitigation,mitigates,T1602,Data from Configuration Repository,technique,Apply extended ACLs to block unauthorized protocols outside the trusted network.(Citation: US-CERT TA17-156A SNMP Abuse 2017)
M1037,Filter Network Traffic,mitigation,mitigates,T1498.001,Direct Network Flood,technique,"When flood volumes exceed the capacity of the network connection being targeted, it is typically necessary to intercept the incoming traffic upstream to filter out the attack traffic from the legitimate traffic. Such defenses can be provided by the hosting Internet Service Provider (ISP) or by a 3rd party such as a Content Delivery Network (CDN) or providers specializing in DoS mitigations.(Citation: CERT-EU DDoS March 2017)

Depending on flood volume, on-premises filtering may be possible by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport.(Citation: CERT-EU DDoS March 2017)

As immediate response may require rapid engagement of 3rd parties, analyze the risk associated to critical resources being affected by Network DoS attacks and create a disaster recovery plan/business continuity plan to respond to incidents.(Citation: CERT-EU DDoS March 2017)"
M1037,Filter Network Traffic,mitigation,mitigates,T1499,Endpoint Denial of Service,technique,"Leverage services provided by Content Delivery Networks (CDN) or providers specializing in DoS mitigations to filter traffic upstream from services.(Citation: CERT-EU DDoS March 2017) Filter boundary traffic by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport. To defend against SYN floods, enable SYN Cookies."
M1037,Filter Network Traffic,mitigation,mitigates,T1048,Exfiltration Over Alternative Protocol,technique,"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network."
M1037,Filter Network Traffic,mitigation,mitigates,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,technique,"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. "
M1037,Filter Network Traffic,mitigation,mitigates,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,technique,"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. "
M1037,Filter Network Traffic,mitigation,mitigates,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,technique,"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. "
